"Con deliverable si intende:","Un beneficio relativo al prodotto/servizio del progetto.","Risposte A e C insieme.","Un prodotto, servizio, risultato (anche parziale) previsto nel piano di progetto.","Sempre un Work Package.",c
"Quale delle seguenti affermazioni è da ritenersi corretta?","Un programma può scomporsi in sottoprogetti, fasi e sottofasi","Un progetto può scomporsi in sottoprogrammi e sottofasi","Un progetto può scomporsi in sottoprogetti, fasi e sottofasi","Un sottoprogetto è la scomposizione di attività e programmi",c
"In accordo allo standard ISIPM, quale tra le seguenti NON è una tecnica di problem solving:","Metodo del Net Present Value","Metodo cartesiano","Analisi costi/benefici","Diagramma ""a lisca di pesce""",a
"A quale domanda la Matrice delle responsabilità fornisce risposta chiara ed esaustiva?","Chi fa, come e con che cosa?","Chi fa e con quali risorse?","Chi fa Cosa?","Chi fa con quali costi?",c
"Rispetto ai seguenti valori di CPI e SPI, quale coppia indica il progetto con le migliori performance economiche?","CPI=1 SPI=1","CPI=0,8 SPI=1,4","CPI=0,8 SPI=0,7","CPI=1 SPI=1,2",d
"Con il “Metodo del percorso critico” si ottiene:","Il calcolo probabilistico dei “float” (tempi di slittamento delle attività)","La stima probabilistica della durata del progetto","L'individuazione delle attività non critiche","La stima deterministica della durata del progetto",d
"La qualità di progetto percepita dagli stakeholder viene misurata attraverso","Lettere di encomio per il project manager","Indagini di Customer Satisfaction","Report di completamento lavoro","Meeting di chiusura progetto",b
"Che differenza c`è fra conflitto e crisi?","Il conflitto è una lite latente, la crisi una lite manifesta.","Conflitto: disaccordo, aumento della tensione, quando uno ritiene che i suoi interessi siano ostacolati dagli interessi dell’altro; crisi: conflitto che si blocca, si paralizza, non ha più vie d’uscita.","Il conflitto è la preparazione di una crisi, che ne fa esplodere le energie potenziali.","Il conflitto è una crisi meno grave. La crisi è la causa dei conflitti.",b
"La stima analitica dei costi di progetto è:","Un'analisi delle offerte dei fornitori","Una valutazione quantitativa dei costi di tipo bottom-up","Una valutazione parametrica dei costi","Una metodologia di stima dei costi di tipo top-down",b
"L'assicurazione qualità coinvolge:","I prodotti","I processi","I rischi","Gli stakeholder",b
"Il piano di gestione del progetto (Piano di Progetto) può definirsi come:","Il piano generale che integra tutti i sotto-piani del progetto","Un piano che descrive le regole e le procedure da seguire per la gestione del programma","Un piano di alto livello del progetto","Il documento che costituisce di norma l'allegato tecnico al Project Charter",a
"Oltre al controllo del personale, quali sono le altre caratteristiche di una struttura organizzativa?","Interscambiabilità di ruoli, struttura matriciale, efficacia ed efficienza","sviluppo di conoscenze, flessibilità e knowledge management","sviluppo di conoscenze, flessibilità, efficacia ed efficienza dei processi","anticipo dei tempi di produzione, risparmio sui costi, comodità logistica",c
"Con ""forming"" si intende:","La fase di formazione e conoscenza del gruppo di lavoro","Una forma di scheduling dei piani-tipo di lavoro","La fase di strutturazione del team di progetto","Una fase della formazione professionale del team",a
"La definizione più appropriata di budget di progetto è:","La stima dei costi di progetto suddivisa per Work Package","Il risultato del processo di “budgeting & control” dell’ufficio o funzione costi e reporting del progetto","La ripartizione temporale dei costi di progetto","La stima dei costi di progetto per voce di costo",c
"Allorqué un project manager americano citò l’acronimo EV, intendeva:","Il valore del lavoro effettivamente eseguito alla data di avanzamento.","Nessuno dei concetti qui presenti.","I costi a consuntivo.","Il budget dei costi a finire.",a
"Durante la pianificazione della comunicazione è necessario definire:","Perché, cosa, dove e quando comunicare","A chi, dove e quando comunicare","Che cosa, come e dove comunicare","Chi comunica, a chi comunicare, cosa comunicare, quando comunicare, perché comunicare, come comunicare, dove comunicare",d
"Fra i principali criteri di successo del progetto assegnati al project manager non è compreso:","La soddisfazione degli stakeholder","Il rispetto degli Obiettivi concordati","Il successo finanziario a vita intera del progetto","Il rispetto delle scadenze temporali",c
"Nelle conoscenze comportamentali, nell'ambito della negoziazione, la cooperazione si ha quando gli obiettivi della controparte sono:","diversi ed impliciti","legati al concetto di supremazia","diversi, ma esistono vie di accordo","simili ed espliciti",d
"Nel project management con ""avvio” si definisce:","la fase iniziale del progetto","Un gruppo di processi che si usano nel progetto","l'attività di schedulazione delle milestone","l'analisi della fattibilità del progetto",b
"Il tailoring dei processi di project management:","E' dettato dallo sponsor","E' responsabilità del project manager","Può essere imposto dagli stakeholder di alto potere e alto interesse","Le altre risposte presenti sono errate",b
"Il documento con cui si individuano le parti costituenti un nuovo prodotto che deve essere realizzato è:","WBS","PPS","PBS","ABS",c
"La ______________ NON è una caratteristica di un progetto. Riempire lo spazio bianco con una delle seguenti alternative.","Unicità","Elaborazione progressiva","Ripetibilità","Temporaneità",c
"Mi trovo in una fase avanzata di progetto ed ho bisogno di approvvigionarmi di un bene i cui requisiti sono ben definiti. Vorrei preoccuparmi il meno possibile di quanto accadrà per realizzarlo. Mi affido ad un contratto:","Time & Material","Fixed Price","Costi e Spese","Costi e Spese + Incentivo",b
"Il project charter contiene diversi elementi TRANNE:","I deliverable previsti","Il Project Manager assegnato","I rischi di progetto e delle sue fasi","I criteri di successo del progetto",c
"Nel project management la gestione della contrattualistica in generale si riferisce:","Alla redazione dei contratti","Al processo di approvvigionamento solo dei beni e servizi ad alto rischio","Alle attività di supporto dell’ufficio legale al project manager","Al processo di approvvigionamento di tutti i beni e servizi necessari al progetto",d
"_________________ è uno dei criteri che rende di successo la gestione di un progetto","L'uso efficace ed efficiente delle risorse assegnate","La chiara distinzione dei ruoli all'interno del team di progetto","La corretta definizione di una strategia di comunicazione","La verifica dei requisiti di qualità attraverso i controlli",a
"Cosa indica l'acronimo AON?","Un grafico reticolare schedulabile solo con un algoritmo CPM","Ottimizzazione normalizzata delle attività","un insieme di nodi e archi in cui le attività di progetto sono rappresentate tramite frecce orientate","Un grafico reticolare in cui le attività sono rappresentate sui nodi",d
"I processi di project management previsti dalla norma UNI ISO 21500:","possono essere applicati in modo ripetitivo sull'intero progetto o su una singola fase","possono essere applicati in modo ripetitivo solo su una singola fase","possono essere applicati in modo ripetitivo solo sull'ultima fase o chiusura di un progetto.","possono essere applicati in modo ripetitivo solo sulla prima fase o avvio di progetto.",a
"In un'organizzazione di tipo ____________ il project manager ha un alto grado di autorità e indipendenza","Gerarchica","Funzionale","A matrice bilanciata","A progetti",d
"In un istogramma di carico risorse cosa indica un ""sovraccarico"" della risorsa R1 nel periodo T1?","L'utilizzo della stessa risorsa R1 su due differenti attività che nel Gantt sono sovrapposte nel periodo T1.","L'obbligo di una ottimizzazione dei carichi attraverso un livellamento limitato nelle risorse","Che la quantità richiesta dal progetto per la risorsa R1 supera, nel periodo T1, quella disponibile.","Lo straordinario richiesto ad una risorsa umana R1 nel periodo T1",c
"Quale tra i seguenti è un output dei processi di pianificazione che risponde alla domanda ""come fare""","Diagramma di GANTT","Cammino critico","Reticolo logico","Stima risorse necessarie",c
"Nelle conoscenze comportamentali, con “attenuazione” si intende:","Un modo di evitare i punti di divergenza e sottolineare i punti di convergenza, nella risoluzione dei conflitti.","La rinuncia alle proprie posizioni, risolvendo in tal modo il conflitto.","Un modo per cercare compromessi fra posizioni di conflitto, sottolineando i benefici per il progetto.","Un comportamento del project manager, tendente ad attenuare il conflitto con le proprie decisioni.",a
"L'intelligenza emotiva è una caratteristica e conoscenza comportamentale del project manager che consente di:","Considerare aspetti della persona complementari a quelli del lavoro (cultura, famiglia e altri)","Utilizzare tecniche di compromesso e di attenuazione i conflitti con i membri del team","Gestire con responsabilità sociale il progetto","Tener conto degli aspetti relazionali con le persone, e non solo di quelli professionali e tecnici",d
